_id,doi,title,author,year,month,day,volume,issue,first_page,last_page,journal,isbn,issnp,issne,md5,filesize,timeadded,siteid,abstractURL,abstract
15338982,10.1364/OL.32.003143,strong saturation absorption imaging of dense clouds of ultracold atoms,"Reinaudi, G.; Lahaye, T.; Wang, Z.; Guéry-Odelin, D.",2007,,,32,21,3143,0,ol/32/21/ol-32-21-3143.pdf,,0146-9592,1539-4794,5a99bbd753bf8ea4276fc507817e52af,188100,2013-05-01 00:06:26,0146-9592and1539-4794,http://www.opticsinfobase.org/abstract.cfm?URI=ol-32-21-3143,,,,,,,,,,	
15338983,10.1364/OL.32.003146,long-range three-dimensional active imaging with superresolution depth mapping,"Laurenzis, Martin; Christnacher, Frank; Monnin, David",2007,,,32,21,3146,0,ol/32/21/ol-32-21-3146.pdf,,0146-9592,1539-4794,dc349fbe33ec2ffa89db36238c16d212,339643,2013-05-01 00:06:26,0146-9592and1539-4794,http://www.opticsinfobase.org/abstract.cfm?URI=ol-32-21-3146,,,,,,,,,,	
15338984,10.1364/OL.32.003149,spatial solitons in χ^(2) planar photonic crystals,"Gallo, Katia; Assanto, Gaetano",2007,,,32,21,3149,0,ol/32/21/ol-32-21-3149.pdf,,0146-9592,1539-4794,0fbdfc34af9895769c49133852783a9f,347457,2013-05-01 00:06:26,0146-9592and1539-4794,http://www.opticsinfobase.org/abstract.cfm?URI=ol-32-21-3149,,,,,,,,,,	
15338985,10.1364/OL.32.003152,orthogonally polarized single sideband modulator,"Campillo, Anthony L.",2007,,,32,21,3152,0,ol/32/21/ol-32-21-3152.pdf,,0146-9592,1539-4794,1881b88ebedd878279eadd5aa70ea660,311469,2013-05-01 00:06:26,0146-9592and1539-4794,http://www.opticsinfobase.org/abstract.cfm?URI=ol-32-21-3152,,,,,,,,,,	
15338986,10.1364/OL.32.003155,power dependence of brillouin linewidths in a silica fiber,"Qin, Guanshi; Suzuki, Takenobu; Ohishi, Yasutake",2007,,,32,21,3155,0,ol/32/21/ol-32-21-3155.pdf,,0146-9592,1539-4794,dc473f1fbc8e652a9fbdc032ef279799,456755,2013-05-01 00:06:26,0146-9592and1539-4794,http://www.opticsinfobase.org/abstract.cfm?URI=ol-32-21-3155,,,,,,,,,,	
15338987,10.1364/OL.32.003158,backscattering spectroscopic contrast with angle-resolved optical coherence tomography,"Desjardins, Adrien E.; Vakoc, Benjamin J.; Tearney, Guillermo J.; Bouma, Brett E.",2007,,,32,21,3158,0,ol/32/21/ol-32-21-3158.pdf,,0146-9592,1539-4794,10bd0990564a96cc91fa0768ba47cca9,445808,2013-05-01 00:06:26,0146-9592and1539-4794,http://www.opticsinfobase.org/abstract.cfm?URI=ol-32-21-3158,,,,,,,,,,	
15338988,10.1364/OL.32.003161,phase matching in femtosecond boxcars,"Romanov, D.; Filin, A.; Compton, R.; Levis, R.",2007,,,32,21,3161,0,ol/32/21/ol-32-21-3161.pdf,,0146-9592,1539-4794,cb8ec79348a3e9c7b2720b3e24bfd832,163598,2013-05-01 00:06:26,0146-9592and1539-4794,http://www.opticsinfobase.org/abstract.cfm?URI=ol-32-21-3161,,,,,,,,,,	
15338989,10.1364/OL.32.003164,confinement loss spectral behavior in hollow-core bragg fibers,"Foroni, M.; Passaro, D.; Poli, F.; Cucinotta, A.; Selleri, S.; Lægsgaard, J.; Bjarklev, A.",2007,,,32,21,3164,0,ol/32/21/ol-32-21-3164.pdf,,0146-9592,1539-4794,46e7c690dba83cf51b9dc8e2129bb158,328888,2013-05-01 00:06:26,0146-9592and1539-4794,http://www.opticsinfobase.org/abstract.cfm?URI=ol-32-21-3164,,,,,,,,,,	
15338990,10.1364/OL.32.003167,region-of-interest imaging in differential phase-contrast tomography,"Anastasio, Mark A.; Pan, Xiaochuan",2007,,,32,21,3167,0,ol/32/21/ol-32-21-3167.pdf,,0146-9592,1539-4794,8e155fa1510c432d2ef1178b105c061b,143577,2013-05-01 00:06:26,0146-9592and1539-4794,http://www.opticsinfobase.org/abstract.cfm?URI=ol-32-21-3167,,,,,,,,,,	
15338991,10.1364/OL.32.003170,fiber-optic beam shaper based on multimode interference,"Yilmaz, Yiğit O.; Mehta, Alok; Mohammed, Waleed S.; Johnson, Eric G.",2007,,,32,21,3170,0,ol/32/21/ol-32-21-3170.pdf,,0146-9592,1539-4794,b05775cefa175fc0910d1133252e754a,345843,2013-05-01 00:06:26,0146-9592and1539-4794,http://www.opticsinfobase.org/abstract.cfm?URI=ol-32-21-3170,,,,,,,,,,	
15338992,10.1364/OL.32.003173,spatiotemporal surface solitons in two-dimensional photonic lattices,"Mihalache, Dumitru; Mazilu, Dumitru; Lederer, Falk; Kivshar, Yuri S.",2007,,,32,21,3173,0,ol/32/21/ol-32-21-3173.pdf,,0146-9592,1539-4794,b3d3bdd2eab7befbd24590444198f612,370406,2013-05-01 00:06:26,0146-9592and1539-4794,http://www.opticsinfobase.org/abstract.cfm?URI=ol-32-21-3173,,,,,,,,,,	
